,Clue,Answer,Date
0,Actress Falco,edie,2023-12-28
1,Agent,rep,2023-12-28
2,"“As I see it,” in a text",imo,2023-12-28
3,Author Harte,bret,2023-12-28
4,"“Awesome, dude!”",rad,2023-12-28
5,Baghdad’s land,iraq,2023-12-28
6,— Bear,mama,2023-12-28
7,Brink,rim,2023-12-28
8,Buddy,mac,2023-12-28
9,Bygone Olds,alero,2023-12-28
10,Campus org. for future ensigns,nrotc,2023-12-28
11,Cathedral area,nave,2023-12-28
12,Convertible alternative,hardtop,2023-12-28
13,Cosmo VIPs,eds,2023-12-28
14,Costa —,rica,2023-12-28
15,Crew tool,oar,2023-12-28
16,Crossing over,spanning,2023-12-28
17,— -de-France,ile,2023-12-28
18,Dispensed candy,pez,2023-12-28
19,Early TVs,rcas,2023-12-28
20,Fan fave,idol,2023-12-28
21,Feeder filler,seed,2023-12-28
22,Fibber’s admission,ilied,2023-12-28
23,“Fight for You” singer,her,2023-12-28
24,“Garfield” dog,odie,2023-12-28
25,Getting — years,onin,2023-12-28
26,Gilbert and Sullivan princess,ida,2023-12-28
27,— Grey tea,earl,2023-12-28
28,Have the flu,ail,2023-12-28
29,Houston player,astro,2023-12-28
30,Humdinger,lulu,2023-12-28
31,Landlord’s due,rent,2023-12-28
32,L.A. Sparks org.,wnba,2023-12-28
33,Many a resort patron,vacationer,2023-12-28
34,Merlot or Chianti,wine,2023-12-28
35,Milan’s La —,scala,2023-12-28
36,Model Campbell,naomi,2023-12-28
37,Montezuma’s people,aztecs,2023-12-28
38,Movie,cine,2023-12-28
39,Must have,need,2023-12-28
40,Niches,alcoves,2023-12-28
41,“Nova” subj.,sci,2023-12-28
42,Oklahoma city,ada,2023-12-28
43,Old salts,tars,2023-12-28
44,One conducting an interview,questioner,2023-12-28
45,Operates,runs,2023-12-28
46,PC key,alt,2023-12-28
47,“Phooey!”,drat,2023-12-28
48,“Platoon” locale,nam,2023-12-28
49,Put on,wear,2023-12-28
50,Raced,sped,2023-12-28
51,School org.,pta,2023-12-28
52,School sound system,intercom,2023-12-28
53,Snappy reply,retort,2023-12-28
54,Sound of Washington,puget,2023-12-28
55,Standard,par,2023-12-28
56,Tennis great Arthur,ashe,2023-12-28
57,Texter’s chuckle,lol,2023-12-28
58,Thornton Wilder drama,ourtown,2023-12-28
59,Trail mix bits,raisins,2023-12-28
60,“Unh-unh”,nah,2023-12-28
61,Vitamin stat,rda,2023-12-28
62,With (Fr.),avec,2023-12-28
63,Writer Wiesel,elie,2023-12-28
