,Date,First Pass Letter Accuracy,First Pass Word Accuracy,Second Pass Letter Accuracy,Second Pass Word Accuracy
0,07/20/2023,93.44,79.49,93.44,79.49
1,07/27/2023,97.84,92.31,100.0,100.0
2,07/29/2023,100.0,100.0,100.0,100.0
3,08/05/2023,100.0,100.0,100.0,100.0
4,08/13/2023,99.72,98.51,100.0,100.0
5,08/17/2023,97.85,91.03,100.0,100.0
6,08/18/2023,96.3,90.28,97.35,93.06
7,08/30/2023,95.7,83.33,98.92,94.87
8,09/01/2023,99.49,97.22,100.0,100.0
9,09/08/2023,98.46,91.67,99.49,97.22
10,09/15/2023,97.89,90.32,99.47,96.77
11,09/16/2023,99.48,96.97,100.0,100.0
12,10/04/2023,95.11,83.33,95.65,84.62
13,11/22/2023,100.0,100.0,100.0,100.0
14,11/23/2023,98.92,95.83,100.0,100.0
15,11/24/2023,100.0,100.0,100.0,100.0
16,11/25/2023,97.38,91.18,100.0,100.0
17,11/28/2023,100.0,100.0,100.0,100.0
18,12/01/2023,100.0,100.0,100.0,100.0
19,12/02/2023,99.49,97.14,100.0,100.0
20,12/03/2023,100.0,100.0,100.0,100.0
21,12/08/2023,99.45,96.77,100.0,100.0
22,12/09/2023,98.97,95.59,98.97,95.59
23,12/10/2023,98.89,95.71,99.72,98.57
