,Letter Accuracy,Word Accuracy
0,100.0,100.0
1,100.0,100.0
2,100.0,100.0
3,100.0,100.0
4,100.0,100.0
5,100.0,100.0
6,100.0,100.0
7,100.0,100.0
8,98.98989898989899,98.98989898989899
9,99.48186528497409,99.48186528497409
10,99.7229916897507,99.7229916897507
11,100.0,100.0
12,99.46524064171123,99.46524064171123
13,97.84946236559139,97.84946236559139
14,96.29629629629629,96.29629629629629
15,98.94179894179894,98.94179894179894
16,100.0,100.0
17,100.0,100.0
18,100.0,100.0
19,98.42931937172776,98.42931937172776
20,99.48453608247422,99.48453608247422
21,98.96373056994818,98.96373056994818
22,98.92183288409704,98.92183288409704
23,100.0,100.0
24,99.46524064171123,99.46524064171123
25,95.6989247311828,95.6989247311828
26,98.35164835164835,98.35164835164835
